alimento_id,alimento,Carbohidratos,Energía,Lípidos,Proteína,Sodio
1000,"Aceite, de ajonjoli",0,884,100,0,
1001,"Aceite, de algodon",0,884,100,0,
1002,"Aceite, de cacahuate",0,884,100,0,
1003,"Aceite, de canola",0,884,100,0,
1004,"Aceite, de canola",0,884,100,0,
1005,"Aceite, de cartamo",0,884,100,0,
1006,"Aceite, de coco",0,892,99.06,0,
1007,"Aceite, de girasol",0,884,100,0,
1008,"Aceite, de maiz",0,900,100,0,
1009,"Aceite, de oliva",0,884,100,0,
1010,"Aceite, de soya",0,884,100,0,
1011,Aceite en aerosol (pam),0,843.75,93.75,0,
1012,"Aceite, vegetal (promedio)",0,853.9,95.76,0,
1013,"Aceite, vegetal promedio (canola, maiz, cartamo, girasol, soya y oliva)",0,887.86,100,0,
1014,"Aceite, vegetal promedio (cartamo, maiz, girasol, canola, soya, oliva, algodon, ajonjoli y cacahuate)",0,887.32,99.99,0,
1015,"Aderezo, todos tipos",10.36,337.83,32.75,0.41,
1016,"Aderezo, agridulce (p/ensaladas)",3.7,15,0,0.1,
1017,"Aderezo, cesar (p/ensaladas)",3.3,542,57.85,2.17,
1018,"Aderezo, de mostaza dulce (p/ensaladas)",23.33,464,40.83,0.87,
1019,"Aderezo, de queso azul o roquefort (p/ensaladas)",4.77,484,51.1,1.37,
1020,Aderezo italiano (p/ensaladas),8.33,319.22,31.67,0.22,
1021,"Aderezo, mil islas (p/ensaladas)",14.64,379,35.06,1.09,
1022,"Aderezo, ranch (p/ensaladas)",5.9,430,44.54,1.32,
1023,Lardo,0,902,100,0,
1024,"Manteca, animal promedio",0,902,100,0,
1025,"Manteca, vegetal promedio",0,884,99.97,0,
1026,"Mantequilla, con sal",0,729,80,0,
1027,"Mantequilla, sin sal",0.97,734,80.33,0.37,
1028,"Margarina, con sal",1.66,739.22,80.66,1.66,
1029,"Margarina, light",1.52,349,37.98,0.23,
1030,Margarina sin sal (primavera chantilly),0,540,60,0,
1031,Mayonesa,2.33,519.55,54.43,0.78,
1032,"Mayonesa, light",9.23,238,22.22,0.37,
1033,Mayonesa light (promedio etiquetas),9.33,328.45,32,0.78,
1034,"Sustituto de crema, light",75,439.68,15.12,0.9,
3000,Algodon de azucar,89.25,357,0,0,
