alimento_id,alimento,Carbohidratos,Energía,Lípidos,Proteína,Sodio
1000,"aceite, de ajonjoli",0.0,884.0,100.0,0.0,
1001,"aceite, de algodon",0.0,884.0,100.0,0.0,
1002,"aceite, de cacahuate",0.0,884.0,100.0,0.0,
1003,"aceite, de canola",0.0,884.0,100.0,0.0,
1004,"aceite, de canola",0.0,884.0,100.0,0.0,
1005,"aceite, de cartamo",0.0,884.0,100.0,0.0,
1006,"aceite, de coco",0.0,892.0,99.06,0.0,
1007,"aceite, de girasol",0.0,884.0,100.0,0.0,
1008,"aceite, de maiz",0.0,900.0,100.0,0.0,
1009,"aceite, de oliva",0.0,884.0,100.0,0.0,
1010,"aceite, de soya",0.0,884.0,100.0,0.0,
1011,aceite en aerosol (pam),0.0,843.75,93.75,0.0,
1012,"aceite, vegetal (promedio)",0.0,853.9,95.76,0.0,
1013,"aceite, vegetal promedio (canola, maiz, cartamo, girasol, soya y oliva, ponderado de ensanut 2016)",0.0,887.86,100.0,0.0,
1014,"aceite, vegetal promedio (cartamo, maiz, girasol, canola, soya, oliva, algodon, ajonjoli y cacahuate, ponderado de ensanut 2012)",0.0,887.32,99.99,0.0,
1015,"aderezo, todos tipos",10.36,337.83,32.75,0.41,
1016,"aderezo, agridulce (p/ensaladas)",3.7,15.0,0.0,0.1,
1017,"aderezo, cesar (p/ensaladas)",3.3,542.0,57.85,2.17,
1018,"aderezo, de mostaza dulce (p/ensaladas)",23.33,464.0,40.83,0.87,
1019,"aderezo, de queso azul o roquefort (p/ensaladas)",4.77,484.0,51.1,1.37,
1020,aderezo italiano (p/ensaladas),8.33,319.22,31.67,0.22,
1021,"aderezo, mil islas (p/ensaladas)",14.64,379.0,35.06,1.09,
1022,"aderezo, ranch (p/ensaladas)",5.9,430.0,44.54,1.32,
1023,lardo,0.0,902.0,100.0,0.0,
1024,"manteca, animal promedio",0.0,902.0,100.0,0.0,
1025,"manteca, vegetal promedio",0.0,884.0,99.97,0.0,
1026,"mantequilla, con sal",0.0,729.0,80.0,0.0,
1027,"mantequilla, sin sal",0.97,734.0,80.33,0.37,
1028,"margarina, con sal",1.66,739.22,80.66,1.66,
1029,"margarina, light",1.52,349.0,37.98,0.23,
1030,margarina sin sal (primavera chantilly),0.0,540.0,60.0,0.0,
1031,mayonesa,2.33,519.55,54.43,0.78,
1032,"mayonesa, light (anãlisis directo)",9.23,238.0,22.22,0.37,
1033,mayonesa light (promedio etiquetas),9.33,328.45,32.0,0.78,
