id,name,carbs,energy,fat,protein,sodium
1000,"ACEITE, DE AJONJOLI",0,884,100,0,
1001,"ACEITE, DE ALGODON",0,884,100,0,
1002,"ACEITE, DE CACAHUATE",0,884,100,0,
1003,"ACEITE, DE CANOLA",0,884,100,0,
1004,"ACEITE, DE CANOLA",0,884,100,0,
1005,"ACEITE, DE CARTAMO",0,884,100,0,
1006,"ACEITE, DE COCO",0,892,99.06,0,
1007,"ACEITE, DE GIRASOL",0,884,100,0,
1008,"ACEITE, DE MAIZ",0,900,100,0,
1009,"ACEITE, DE OLIVA",0,884,100,0,
1010,"ACEITE, DE SOYA",0,884,100,0,
1011,ACEITE EN AEROSOL (PAM),0,843.75,93.75,0,
1012,"ACEITE, VEGETAL (PROMEDIO)",0,853.9,95.76,0,
1013,"ACEITE, VEGETAL PROMEDIO (CANOLA, MAIZ, CARTAMO, GIRASOL, SOYA Y OLIVA, PONDERADO DE ENSANUT 2016)",0,887.86,100,0,
1014,"ACEITE, VEGETAL PROMEDIO (CARTAMO, MAIZ, GIRASOL, CANOLA, SOYA, OLIVA, ALGODON, AJONJOLI Y CACAHUATE, PONDERADO DE ENSANUT 2012)",0,887.32,99.99,0,
1015,"ADEREZO, TODOS TIPOS",10.36,337.83,32.75,0.41,
1016,"ADEREZO, AGRIDULCE (P/ENSALADAS)",3.7,15,0,0.1,
1017,"ADEREZO, CESAR (P/ENSALADAS)",3.3,542,57.85,2.17,
1018,"ADEREZO, DE MOSTAZA DULCE (P/ENSALADAS)",23.33,464,40.83,0.87,
1019,"ADEREZO, DE QUESO AZUL O ROQUEFORT (P/ENSALADAS)",4.77,484,51.1,1.37,
1020,ADEREZO ITALIANO (P/ENSALADAS),8.33,319.22,31.67,0.22,
1021,"ADEREZO, MIL ISLAS (P/ENSALADAS)",14.64,379,35.06,1.09,
1022,"ADEREZO, RANCH (P/ENSALADAS)",5.9,430,44.54,1.32,
1023,LARDO,0,902,100,0,
1024,"MANTECA, ANIMAL PROMEDIO",0,902,100,0,
1025,"MANTECA, VEGETAL PROMEDIO",0,884,99.97,0,
1026,"MANTEQUILLA, CON SAL",0,729,80,0,
1027,"MANTEQUILLA, SIN SAL",0.97,734,80.33,0.37,
1028,"MARGARINA, CON SAL",1.66,739.22,80.66,1.66,
